funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-04T20:00:00Z,OND-20DEC30-CDE,-5e-06,0.357565,0.3676,0.35815,0.3579,5029,10558,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,PAU-20DEC30-CDE,2e-06,4431.66,4475.7,4430.85,4432.3,1156,2197,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,PEP-20DEC30-CDE,1.1e-05,0.00357,0.00381,0.0035725,0.003571,609,4872,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,POP-20DEC30-CDE,-5e-06,0.868743,0.896,0.869,0.869,4413,4769,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SHP-20DEC30-CDE,7e-06,0.005227,0.00544,0.005215,0.00521,3082,4239,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SLP-20DEC30-CDE,-2e-06,101.657165,105.24,101.675,101.64,36037,63751,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SUP-20DEC30-CDE,8e-06,0.758088,0.7897,0.75905,0.7581,5041,17564,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,TEK-19DEC30-CDE,4e-06,3962.973965,3976.5,3961.9,3961.4,597,4973,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,US5-19DEC30-CDE,-5e-06,3110.090277,3124.3,3108.95,3109.1,1288,3715,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,XLP-20DEC30-CDE,3e-06,0.179182,0.18797,0.179355,0.17924,3820,7682,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,XPP-20DEC30-CDE,3e-06,1.39779,1.4734,1.3979,1.3974,48880,138117,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,ZEC-20DEC30-CDE,-6e-06,1037.298209,970,1040.225,1039.65,8196,79559,2026-09-04T20:31:22Z
2026-09-04T21:00:00Z,ADP-20DEC30-CDE,1e-06,0.213101,0.2224,0.2126,0.2125,10379,38949,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,AIP-19DEC30-CDE,0,2957.15713,2953.8,2945,2957.8,656,1551,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,AVE-20DEC30-CDE,1e-06,130.105485,134.17,134,130.43,1092,3488,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,AVP-20DEC30-CDE,-4.5e-05,7.381421,7.53,7.295,7.37,8142,6771,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,BCP-20DEC30-CDE,7e-06,253.089054,259.65,257.9,252.75,1665,40634,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,BIP-20DEC30-CDE,5e-06,79807.515186,81805,79770,79710,216952,820138,2026-09-04T21:25:07Z
2026-09-04T21:00:00Z,BNB-20DEC30-CDE,5e-06,719.243496,724.55,710.5,720.9,341,878,2026-09-04T21:25:07Z
